"","SoC","Exp"
"275",18484.7630312321,62946.7044102251
"276",19172.3559477057,56030.8045654322
"277",17200.9599770046,43773.8817310438
"278",17681.9021506286,46729.2308221096
"279",16845.9456753833,45702.3109431325
"280",17449.1953234818,55945.0477832941
"281",24431.9558654939,72893.4378844071
"282",18235.2415277904,50340.9111820875
"283",17217.0292943536,56824.8007900113
"284",17566.8097748376,39085.2822246093
"285",18078.2616645566,45457.7931403063
"286",18988.4276055399,56084.1042356909
"287",17318.688058803,49556.4626414462
"288",17658.7048439196,48524.4055140464
"289",18391.9680382006,52317.8588781162
"290",18144.1533662068,53613.0508484291
"291",16241.9579112648,41593.7173266164
"292",17593.5437252437,42426.5891175455
"293",17209.1887782876,56905.9588985789
"294",19064.6723912894,60640.3734043268
"295",16357.8382723903,61114.1695576098
"296",18737.5599124075,45317.4417043925
"297",16772.5345290616,41767.8239331267
"298",16241.6678361024,58074.775236378
"299",18668.1964949894,44037.2317752875
"300",16589.5451903603,45993.9144352366
"301",18273.7794619269,54214.1267362088
"302",18513.3207452425,54914.9066442628
"303",17642.7318258184,49943.8740757229
"304",17360.716734735,47951.8574373441
"305",15863.8058582812,45882.0691530049
"306",17760.5673434608,45894.2101639763
"307",17808.5800343277,54129.0137592762
"308",18177.6894496131,47676.2860815826
"309",14925.9803903638,49618.2060246721
"310",19781.2266972777,53269.3805046316
"311",16813.2006639608,49121.9748686683
"312",17345.6459276888,49550.628822983
"313",18952.99601328,48183.9199872017
"314",17379.9803490445,53972.8311896172
"315",18520.3034090279,54399.0129896077
"316",16351.2857143035,42262.3188134611
"317",18122.6217357504,51789.1066339595
"318",19182.1458324509,53350.2258579479
"319",16050.4984568602,43743.6170634186
"320",16326.0799281874,47949.131495423
"321",16479.3654303476,46735.6588494084
"322",15932.4862828275,45944.1930252583
"323",18484.0851558972,49466.9634816107
"324",19387.2200154105,51963.3572546449
"325",18649.4678199548,44226.9725114647
"326",18741.1952596315,47737.4507877096
"327",17708.5060758714,60076.1351692906
"328",15523.9689925743,46688.8096324593
"329",16971.3939492036,60094.2524025849
"330",19049.8042752235,54279.2580108731
"331",15795.0977549548,44919.7345108329
"332",20060.1111813393,57714.2224458348
"333",17226.3084830101,45273.6966715447
"334",16338.9412248042,46273.0094547806
"335",17797.0419269927,47573.486281272
"336",17059.2606443558,56761.8871642477
"337",18078.5708762386,57214.1379874148
"338",19266.8186757488,52945.7789475989
"339",17089.1864269383,47386.143994606
"340",16759.1945998307,43562.7145146255
